"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 02 03:40:41 UTC 2026","Tue Jun 02 03:40:42 UTC 2026","1152","tests","test_performance","","","","test_object_upload_performance","1KB object upload should complete under 200ms"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","4","tests","test_objects","","","","test_download_object","Downloaded object content matches uploaded content"
"passed","Tue Jun 02 03:40:43 UTC 2026","Tue Jun 02 03:40:44 UTC 2026","978","tests","test_performance","","","","test_object_download_performance","1KB object download should complete under 200ms"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","4","tests","test_objects","","","","test_upload_various_sizes[1024]","Objects of different sizes can be uploaded correctly"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","7","tests","test_buckets","","","","test_create_bucket","Bucket can be created successfully"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","2","tests","test_objects","","","","test_get_nonexistent_object_raises_error","Getting non-existent object raises S3Error"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","7","tests","test_objects","","","","test_list_multiple_objects","All uploaded objects appear in list"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","3","tests","test_objects","","","","test_object_size","Object size matches uploaded data size"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","4","tests","test_objects","","","","test_upload_various_sizes[102400]","Objects of different sizes can be uploaded correctly"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","4","tests","test_objects","","","","test_upload_various_sizes[10240]","Objects of different sizes can be uploaded correctly"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","16","tests","test_buckets","","","","test_list_buckets","Created bucket appears in list_buckets"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","5","tests","test_buckets","","","","test_create_duplicate_bucket_raises_error","Creating duplicate bucket raises S3Error"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","4","tests","test_objects","","","","test_delete_object","Object can be deleted from bucket"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","4","tests","test_buckets","","","","test_delete_bucket","Bucket can be deleted successfully"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","4","tests","test_objects","","","","test_upload_object","Object can be uploaded to bucket"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","5","tests","test_buckets","","","","test_bucket_exists_after_creation","bucket_exists returns True for existing bucket"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:41 UTC 2026","1746","tests","test_performance","","","","test_bucket_creation_performance","Bucket creation should complete under 500ms"
"passed","Tue Jun 02 03:40:39 UTC 2026","Tue Jun 02 03:40:39 UTC 2026","1","tests","test_buckets","","","","test_bucket_does_not_exist","bucket_exists returns False for non-existing bucket"
